,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102
10,8,0.08,0.39,0.14,0.88,0.02,0.01,0.39,0.47,0.29,0.46,0.1,1.0,0.19,0.4,0.07,0.38,0.56,0.52,0.58,0.21,0.2,0.21,0.16,0.16,0.18,0.14,0.21,0.09,0.44,0.42,0.58,0.14,0.52,0.35,0.54,0.32,0.58,0.24,0.66,0.3,0.69,0.71,0.45,0.49,0.5,0.54,0.49,0.48,0.42,0.04,0.27,0.0,0.41,0.39,0.32,0.33,0.02,0.02,0.01,0.01,0.98,0.02,0.2,0.19,0.41,0.42,0.42,0.52,0.12,0.59,0.0,0.07,0.8,0.52,0.79,0.55,0.23,0.41,0.15,0.09,0.08,0.08,0.19,0.2,0.2,0.21,0.58,0.25,0.32,0.04,0.0,0.01,0.75,0.57,0.85,0.82,0.06,0.26,0.09,1.0,0.59,39
11,3,0.1,0.47,0.27,0.67,0.02,0.31,0.46,0.48,0.3,0.44,0.11,1.0,0.21,0.37,0.1,0.35,0.54,0.71,0.7,0.23,0.19,0.21,0.19,0.19,0.51,0.21,0.26,0.13,0.52,0.39,0.57,0.1,0.62,0.3,0.7,0.39,0.72,0.22,0.57,0.41,0.61,0.62,0.56,0.41,0.41,0.4,0.44,0.3,0.23,0.06,0.37,0.01,0.05,0.08,0.07,0.07,0.01,0.01,0.01,0.01,0.71,0.17,0.34,0.32,0.51,0.51,0.51,0.52,0.16,0.43,0.5,0.07,0.82,0.53,0.46,0.56,0.35,0.52,0.18,0.09,0.08,0.08,0.16,0.19,0.19,0.21,0.56,0.18,0.37,0.01,0.01,0.08,0.73,0.69,0.89,0.83,0.07,0.25,0.04,0.0,0.13,39
12,8,0.05,0.64,0.92,0.24,0.08,0.03,0.38,0.61,0.36,0.35,0.06,1.0,0.14,0.51,0.37,0.23,0.47,0.64,0.44,0.15,0.19,0.28,0.2,0.21,0.12,0.27,0.4,0.07,0.56,0.41,0.43,0.24,0.28,0.51,0.45,0.61,0.57,0.33,0.55,0.4,0.63,0.61,0.49,0.34,0.34,0.4,0.3,0.48,0.45,0.06,0.75,0.01,0.53,0.58,0.51,0.49,0.07,0.07,0.05,0.05,0.93,0.03,0.23,0.22,0.44,0.35,0.53,0.18,0.18,0.51,0.5,0.05,0.75,0.25,0.2,0.49,0.48,0.5,0.4,0.09,0.09,0.1,0.08,0.14,0.18,0.17,0.41,0.53,0.49,0.02,0.0,0.05,0.62,0.39,0.43,0.22,0.06,0.16,0.01,0.0,0.61,37
13,8,0.06,0.37,0.0,0.92,0.24,0.04,0.35,0.45,0.26,0.55,0.08,1.0,0.26,0.48,0.19,0.6,0.58,0.35,0.49,0.3,0.26,0.26,0.12,0.07,0.07,0.25,0.28,0.04,0.24,0.39,0.42,0.2,0.31,0.54,0.89,0.3,0.8,0.27,0.42,0.37,0.36,0.4,0.44,0.7,0.74,0.75,0.67,0.64,0.74,0.02,0.15,0.02,0.69,0.62,0.66,0.63,0.24,0.19,0.18,0.16,0.85,0.14,0.2,0.18,0.38,0.45,0.3,0.57,0.09,0.5,0.5,0.05,0.85,0.54,0.08,0.58,0.17,0.17,0.37,0.1,0.08,0.07,0.19,0.21,0.22,0.21,0.3,0.28,0.44,0.01,0.0,0.14,0.86,0.62,0.83,0.82,0.04,0.31,0.13,0.0,0.06,55
14,10,0.01,0.31,0.21,0.82,0.06,0.02,0.32,0.52,0.3,0.32,0.02,1.0,0.39,0.73,0.29,0.59,0.36,0.1,0.51,0.4,0.37,0.36,0.42,0.17,0.21,0.35,0.6,0.01,0.1,0.2,0.29,0.32,0.21,0.73,0.59,0.27,0.28,0.47,0.55,0.42,0.63,0.62,0.4,0.61,0.64,0.79,0.55,0.73,0.74,0.0,0.15,0.0,0.12,0.16,0.24,0.24,0.02,0.02,0.03,0.03,0.94,0.03,0.14,0.13,0.35,0.45,0.22,0.62,0.05,0.48,0.5,0.02,0.77,0.56,0.06,0.18,0.56,0.04,0.0,0.16,0.13,0.11,0.41,0.37,0.39,0.39,0.15,0.13,0.26,0.0,0.0,0.07,0.71,0.64,0.68,0.68,0.01,0.26,0.04,0.0,0.17,29
15,10,0.01,0.41,0.01,0.99,0.02,0.02,0.33,0.39,0.25,0.55,0.03,1.0,0.48,0.52,0.24,0.63,0.63,0.14,0.62,0.48,0.47,0.45,0.14,0.47,0.24,0.48,0.55,0.0,0.07,0.21,0.31,0.31,0.25,0.51,0.19,0.48,0.23,0.43,0.33,0.4,0.38,0.37,0.45,0.74,0.74,0.87,0.57,0.36,0.44,0.0,0.07,0.0,0.03,0.11,0.12,0.12,0.01,0.02,0.02,0.02,0.92,0.04,0.17,0.16,0.44,0.44,0.38,0.75,0.05,0.42,0.5,0.05,0.47,0.74,0.02,0.67,0.48,0.04,0.2,0.4,0.38,0.38,0.67,0.64,0.73,0.71,0.72,0.69,1.0,0.01,0.0,0.09,0.83,0.8,0.77,0.9,0.01,0.43,0.1,0.0,0.04,34
16,7,0.01,0.48,0.6,0.53,0.02,0.01,0.46,0.45,0.29,0.47,0.0,0.0,0.04,0.18,0.81,0.2,0.64,0.92,0.25,0.05,0.1,0.15,0.11,0.09,0.14,0.03,0.15,0.04,0.93,0.88,0.83,0.16,0.76,0.12,0.31,0.42,0.6,0.27,0.5,0.41,0.6,0.58,0.57,0.34,0.34,0.31,0.39,0.36,0.21,0.02,0.66,0.0,0.0,0.25,0.21,0.18,0.0,0.0,0.0,0.0,0.67,0.13,0.35,0.33,0.51,0.43,0.62,0.47,0.29,0.5,0.5,0.04,0.5,0.52,0.29,0.84,0.38,0.79,0.57,0.04,0.04,0.06,0.01,0.05,0.04,0.06,0.78,0.47,0.61,0.0,0.0,0.0,1.0,0.67,0.92,0.94,0.01,0.26,0.05,0.0,0.42,22
17,10,0.26,0.35,0.33,0.7,0.06,0.05,0.42,0.53,0.34,0.42,0.27,1.0,0.24,0.58,0.2,0.46,0.49,0.27,0.46,0.27,0.26,0.28,0.22,0.19,0.24,0.24,0.31,0.18,0.3,0.25,0.39,0.24,0.38,0.56,0.49,0.34,0.53,0.34,0.64,0.48,0.64,0.67,0.46,0.44,0.47,0.51,0.42,0.69,0.73,0.16,0.41,0.03,0.35,0.36,0.39,0.44,0.05,0.05,0.05,0.05,0.93,0.04,0.26,0.22,0.36,0.44,0.28,0.55,0.1,0.53,0.5,0.4,0.6,0.51,0.42,0.38,0.38,0.46,0.13,0.06,0.06,0.07,0.22,0.23,0.25,0.23,0.38,0.13,0.26,0.06,0.03,0.06,0.7,0.53,0.74,0.69,0.18,0.23,0.12,0.57,0.23,18
18,10,0.01,0.41,0.02,0.98,0.02,0.01,0.43,0.43,0.28,0.58,0.0,0.0,0.16,0.31,0.16,0.42,0.68,0.5,0.67,0.18,0.17,0.16,0.16,0.16,0.16,0.0,0.07,0.02,0.5,0.22,0.47,0.08,0.75,0.25,0.87,0.31,0.8,0.2,0.47,0.26,0.43,0.46,0.47,0.64,0.65,0.56,0.62,0.35,0.36,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.05,0.22,0.21,0.45,0.42,0.5,0.63,0.06,0.41,0.5,0.03,0.54,0.65,0.39,0.9,0.06,0.4,0.3,0.04,0.04,0.04,0.1,0.11,0.11,0.16,0.4,0.16,0.37,0.0,0.0,0.04,0.73,0.71,0.84,0.78,0.07,0.04,0.04,0.0,0.04,39
19,3,0.0,0.48,0.0,0.99,0.03,0.02,0.42,0.49,0.3,0.43,0.0,0.0,0.29,0.61,0.53,0.43,0.53,0.22,0.6,0.3,0.25,0.24,0.17,0.34,0.13,0.81,0.44,0.01,0.19,0.32,0.42,0.19,0.24,0.52,0.46,0.35,0.56,0.31,0.53,0.25,0.52,0.55,0.5,0.72,0.71,0.85,0.71,0.76,0.71,0.0,0.08,0.0,0.23,0.17,0.21,0.18,0.02,0.01,0.02,0.01,0.96,0.03,0.21,0.22,0.48,0.5,0.44,0.62,0.09,0.45,0.5,0.01,0.86,0.61,0.09,0.54,0.42,0.27,0.36,0.1,0.09,0.1,0.23,0.25,0.24,0.26,0.25,0.13,0.28,0.0,0.0,0.04,0.8,0.53,0.68,0.79,0.02,0.16,0.0,0.0,0.01,18
20,10,0.02,0.82,0.28,0.38,1.0,0.3,0.48,0.52,0.27,0.07,0.04,1.0,0.48,0.79,0.15,0.33,0.16,0.51,0.45,0.42,0.25,0.29,0.32,0.24,0.2,0.28,0.32,0.02,0.24,0.24,0.29,0.19,0.47,0.63,0.29,0.25,0.38,0.27,0.42,0.34,0.5,0.48,0.85,0.71,0.69,0.73,0.66,0.45,0.43,0.01,0.21,0.03,0.38,0.49,0.51,0.64,0.44,0.51,0.47,0.55,0.57,0.34,0.63,0.67,0.9,0.88,0.88,0.57,0.45,0.27,0.5,0.02,0.83,0.59,1.0,0.16,0.85,0.23,0.31,0.4,0.34,0.29,0.48,0.48,0.64,0.52,0.86,0.84,0.21,0.0,0.0,0.5,0.46,0.16,0.2,0.54,0.01,0.53,0.11,0.0,0.16,6
21,4,0.01,0.43,0.27,0.76,0.09,0.04,0.32,0.38,0.21,0.5,0.03,1.0,0.38,0.61,0.1,0.55,0.5,0.11,0.76,0.38,0.36,0.36,0.35,0.16,0.25,0.3,0.51,0.01,0.14,0.13,0.23,0.33,0.32,0.57,0.41,0.43,0.27,0.53,0.54,0.26,0.54,0.56,0.37,0.68,0.66,0.68,0.59,0.66,0.71,0.0,0.11,0.0,0.24,0.22,0.28,0.29,0.08,0.06,0.07,0.07,0.9,0.05,0.17,0.18,0.45,0.43,0.44,0.75,0.1,0.29,0.5,0.02,0.74,0.75,0.09,0.36,0.69,0.12,0.05,0.16,0.14,0.13,0.41,0.41,0.4,0.43,0.38,0.43,0.17,0.0,0.0,0.13,0.22,0.43,0.59,0.45,0.03,0.14,0.03,0.0,0.23,12
22,10,0.01,0.44,0.12,0.87,0.15,0.03,0.45,0.43,0.25,0.33,0.02,1.0,0.32,0.57,0.26,0.44,0.42,0.21,0.76,0.34,0.3,0.3,0.29,0.06,0.1,0.13,0.44,0.01,0.26,0.17,0.27,0.41,0.43,0.49,0.45,0.48,0.25,0.46,0.52,0.27,0.52,0.54,0.51,0.69,0.68,0.78,0.52,0.56,0.59,0.0,0.06,0.0,0.03,0.05,0.32,0.48,0.01,0.01,0.06,0.09,0.91,0.07,0.21,0.21,0.47,0.53,0.37,0.64,0.1,0.31,0.5,0.02,0.71,0.6,0.14,0.32,0.69,0.22,0.25,0.11,0.11,0.12,0.23,0.24,0.25,0.24,0.28,0.32,0.36,0.0,0.0,0.1,0.43,0.53,0.55,0.47,0.02,0.13,0.0,0.0,0.13,28
23,8,0.0,0.48,0.02,0.96,0.06,0.05,0.39,0.43,0.26,0.3,0.0,0.0,0.56,0.72,0.28,0.64,0.36,0.09,0.35,0.55,0.43,0.42,0.43,0.22,0.48,0.32,0.34,0.0,0.07,0.1,0.22,0.42,0.27,0.73,0.45,0.37,0.36,0.49,0.39,0.36,0.45,0.43,0.51,0.81,0.82,0.9,0.87,0.53,0.67,0.0,0.11,0.0,0.46,0.37,0.38,0.35,0.09,0.06,0.06,0.05,0.92,0.08,0.19,0.2,0.53,0.55,0.37,0.78,0.05,0.38,0.5,0.04,0.41,0.75,0.07,0.88,0.54,0.06,0.93,0.49,0.45,0.43,0.59,0.63,0.69,0.72,0.63,0.67,0.47,0.03,0.0,0.08,0.63,0.6,0.56,0.69,0.05,0.06,0.05,0.0,0.03,9
24,1,0.0,0.59,0.01,0.99,0.05,0.01,0.35,0.41,0.27,0.26,0.02,0.86,0.68,0.85,0.38,0.67,0.28,0.11,0.44,0.64,0.48,0.46,0.0,0.0,0.49,0.0,0.56,0.0,0.04,0.09,0.21,0.44,0.32,0.69,0.41,0.4,0.22,0.62,0.21,0.42,0.24,0.23,0.59,0.88,0.88,0.91,0.86,0.68,0.6,0.0,0.07,0.0,0.14,0.11,0.14,0.14,0.03,0.02,0.02,0.02,0.95,0.02,0.27,0.29,0.63,0.64,0.29,0.93,0.04,0.29,0.5,0.0,0.92,0.89,0.34,0.29,0.46,0.04,0.0,0.52,0.49,0.49,0.48,0.63,0.79,0.64,0.37,0.55,0.31,0.0,0.0,0.09,0.85,0.81,0.83,0.9,0.04,0.07,0.14,0.0,0.03,25
25,6,0.05,0.53,0.31,0.69,0.14,0.32,0.37,0.46,0.26,0.3,0.06,1.0,0.4,0.72,0.29,0.39,0.35,0.15,0.28,0.37,0.3,0.3,0.31,0.26,0.29,0.36,0.44,0.03,0.21,0.21,0.37,0.23,0.27,0.67,0.2,0.38,0.24,0.39,0.52,0.35,0.61,0.59,0.54,0.64,0.65,0.71,0.59,0.66,0.72,0.02,0.2,0.05,0.23,0.27,0.36,0.41,0.33,0.33,0.4,0.43,0.62,0.19,0.29,0.29,0.58,0.57,0.58,0.75,0.33,0.51,0.5,0.04,0.79,0.75,0.14,0.37,0.63,0.09,0.33,0.19,0.16,0.14,0.49,0.48,0.53,0.52,0.65,0.56,0.5,0.0,0.0,0.6,0.25,0.45,0.41,0.51,0.08,0.11,0.05,0.0,0.31,12
26,4,0.01,0.44,0.0,0.97,0.1,0.05,0.26,0.35,0.24,0.69,0.02,1.0,0.63,0.54,0.14,0.76,0.7,0.1,1.0,0.6,0.53,0.51,0.78,1.0,0.43,0.49,0.58,0.0,0.03,0.26,0.32,0.37,0.21,0.48,0.48,0.42,0.26,0.56,0.13,0.38,0.19,0.17,0.44,0.91,0.9,0.98,0.71,0.27,0.46,0.0,0.02,0.01,0.05,0.1,0.12,0.14,0.03,0.05,0.05,0.06,0.75,0.09,0.15,0.17,0.49,0.56,0.09,0.87,0.02,0.3,0.5,0.0,0.95,0.8,0.07,0.57,0.4,0.01,0.16,0.53,0.51,0.5,0.84,0.67,0.64,0.66,0.4,0.57,0.68,0.0,0.0,0.23,0.78,0.95,0.87,0.9,0.01,0.28,0.23,0.0,0.04,34
27,6,0.0,0.4,0.01,0.81,0.24,0.28,0.51,0.71,0.53,0.34,0.02,1.0,0.16,0.53,0.14,0.31,0.46,0.47,0.51,0.15,0.15,0.15,0.39,0.07,0.16,0.22,0.25,0.02,0.55,0.29,0.45,0.2,0.45,0.55,0.4,0.23,0.59,0.2,0.75,0.44,0.68,0.74,0.52,0.38,0.45,0.43,0.41,0.5,0.45,0.01,0.21,0.01,0.45,0.53,0.7,0.75,0.24,0.26,0.31,0.3,0.76,0.22,0.43,0.36,0.44,0.54,0.42,0.26,0.35,0.76,0.0,0.02,0.73,0.25,0.29,0.19,0.63,0.45,0.49,0.11,0.1,0.08,0.23,0.2,0.19,0.19,0.32,0.49,0.37,0.0,0.01,0.23,0.69,0.36,0.67,0.62,0.01,0.29,0.21,0.0,0.2,49
28,8,0.0,0.33,0.05,0.93,0.05,0.08,0.24,0.46,0.27,0.62,0.02,1.0,0.4,0.57,0.19,0.58,0.57,0.3,0.5,0.42,0.4,0.39,0.37,0.17,0.37,0.39,0.44,0.01,0.15,0.38,0.49,0.23,0.46,0.55,0.63,0.35,0.42,0.37,0.41,0.5,0.4,0.42,0.39,0.57,0.58,0.68,0.68,0.42,0.55,0.0,0.12,0.01,0.1,0.13,0.3,0.33,0.07,0.08,0.17,0.17,0.68,0.18,0.15,0.13,0.34,0.38,0.32,0.5,0.08,0.59,0.0,0.01,0.79,0.49,0.15,0.35,0.31,0.15,0.48,0.4,0.38,0.35,0.39,0.44,0.49,0.5,0.4,0.7,0.67,0.01,0.0,0.3,0.74,0.67,0.72,0.84,0.01,0.2,0.1,0.0,0.08,9
29,5,0.01,0.33,0.54,0.56,0.01,0.01,0.43,0.5,0.35,0.54,0.03,1.0,0.17,0.5,0.18,0.21,0.55,0.35,0.25,0.19,0.2,0.23,0.21,0.12,0.41,0.05,0.26,0.02,0.34,0.67,0.76,0.14,0.26,0.58,1.0,0.13,1.0,0.19,0.74,0.39,0.71,0.76,0.36,0.33,0.31,0.33,0.42,0.8,0.86,0.01,0.38,0.0,0.24,0.17,0.31,0.53,0.0,0.0,0.01,0.01,0.96,0.04,0.15,0.14,0.34,0.29,0.42,0.33,0.13,0.66,0.0,0.02,0.78,0.37,0.44,0.44,0.5,0.56,0.61,0.07,0.06,0.08,0.1,0.14,0.14,0.18,0.31,0.37,0.56,0.0,0.0,0.0,0.79,0.57,0.7,0.79,0.03,0.13,0.0,0.0,0.36,37
30,10,0.0,0.43,0.0,0.97,0.05,0.02,0.42,0.47,0.29,0.45,0.0,0.0,0.21,0.54,0.26,0.44,0.52,0.25,0.37,0.24,0.24,0.23,0.31,0.14,0.19,0.25,0.38,0.01,0.23,0.32,0.4,0.18,0.18,0.52,0.41,0.17,0.67,0.27,0.51,0.22,0.59,0.58,0.44,0.68,0.69,0.74,0.6,0.59,0.69,0.0,0.07,0.0,0.22,0.33,0.53,0.5,0.02,0.02,0.03,0.03,0.96,0.05,0.23,0.22,0.45,0.46,0.45,0.6,0.15,0.42,0.5,0.01,0.82,0.6,0.32,0.57,0.73,0.54,0.05,0.09,0.08,0.09,0.21,0.2,0.19,0.23,0.44,0.41,0.28,0.0,0.0,0.03,0.39,0.39,0.53,0.36,0.04,0.06,0.02,0.0,0.05,5
31,8,0.07,0.55,1.0,0.13,0.05,0.01,0.65,0.62,0.52,0.42,0.09,1.0,0.08,0.34,0.18,0.26,0.54,0.79,0.36,0.1,0.17,0.4,0.11,0.04,0.23,0.14,1.0,0.17,1.0,0.49,0.55,0.38,0.83,0.21,0.19,0.75,0.32,0.48,0.54,0.7,0.62,0.62,0.67,0.1,0.05,0.0,0.03,0.42,0.42,0.18,1.0,0.0,0.57,0.73,0.81,0.73,0.05,0.06,0.06,0.05,0.93,0.03,0.58,0.48,0.5,0.46,0.55,0.37,0.39,0.53,0.5,0.13,0.52,0.4,0.6,0.64,0.5,0.61,0.4,0.05,0.07,0.11,0.0,0.1,0.14,0.13,0.73,0.52,0.4,0.01,0.0,0.04,0.83,0.54,0.73,0.77,0.07,0.17,0.21,0.49,0.81,22
32,4,0.08,0.28,0.06,0.92,0.12,0.1,0.29,0.34,0.24,0.71,0.1,1.0,0.51,0.4,0.24,0.73,0.63,0.09,0.56,0.58,0.8,0.81,0.21,0.13,0.32,0.54,0.55,0.03,0.13,0.12,0.18,0.56,0.15,0.42,0.15,0.42,0.11,0.63,0.41,0.36,0.4,0.42,0.25,0.75,0.78,0.84,0.74,0.33,0.35,0.01,0.08,0.05,0.39,0.48,0.52,0.52,0.36,0.39,0.38,0.36,0.74,0.15,0.09,0.08,0.27,0.29,0.23,0.73,0.09,0.6,0.0,0.36,0.11,0.71,0.04,0.26,0.73,0.04,0.05,0.37,0.42,0.58,0.58,0.56,0.62,0.57,0.6,0.65,0.28,0.0,0.0,0.39,0.06,0.43,0.4,0.31,0.08,0.19,0.03,0.66,0.15,12
